	tname	tnumber
FREN	 Intermediate French I 	20100 
FREN	 Intermediate French II 	20200 
FREN	 Intensive Intermediate French 	20300 
FREN	 French for Francophones 	20800 
FREN	 Intermediate Grammar and Composition 	21100 
FREN	 Advanced French Conversation 	22000 
FREN	 Early French Civilization: From Gothic to Revolution 	24100 
FREN	 Modern French Civilization: From Revolution to Present 	24200 
FREN	 French Literature and the Arts 	25100 
FREN	 From Symbolism to Surrealism in French Literature 	25200 
FREN	 Modern French Theatre: Theory and Practice 	25300 
FREN	 Film and the French Novel 	25400 
FREN	 New Approaches to Modern French Literature 	25500 
FREN	 Dream and Image  	25600 
FREN	 Literary Cross-Currents 	25700 
FREN	 French Poetry in Translation 	25800 
FREN	 French Theatre in Translation 	25900 
FREN	 French Novel in Translation (1600-1900) 	26000 
FREN	 Modern French Novel in Translation (1900-Present) 	26100 
FREN	 Perspectives on Women in French Literature 	26200 
FREN	 Introduction to French Literature 	27500 
FREN	 Advanced French Grammar 	31100 
FREN	 French Oral and Written Expression 	31200 
FREN	 French Translation 	32100 
FREN	 French Culture I 	33500 
FREN	 French Culture II 	33600 
FREN	 Contemporary French Culture 	33700 
FREN	 Survey of French Literature from the Middle Ages to the End of the 17th Century 	34100 
FREN	 Survey of French Literature from the 18th Century to the Modern Period 	34200 
FREN	 Medieval and Renaissance French Literature 	34300 
FREN	 17th Century French Literature 	34400 
FREN	 18th Century French Literature 	34600 
FREN	 19th Century French Literature (1800-1850) 	34800 
FREN	 19th Century French Literature (1850-1900) 	34900 
FREN	 20th Century French Literature (1900-1950) 	35000 
FREN	 Contemporary French Literature (1950-present) 	35100 
FREN	 Survey of Francophone Literature 	35300 
FREN	 French Literature: Special Topics 	36000 
FREN	 Middle Ages and the Renaissance: Special Topics 	36100 
FREN	 The 17th Century: Special Topics 	36200 
FREN	 The 18th Century: Special Topics 	36300 
FREN	 The 19th Century: Special Topics 	36400 
FREN	 The 20th Century: Special Topics 	36500 
FREN	 French Cinema: Special Topics 	36600 
FREN	 Seminar in French Literary History 	37500 
FREN	 Second Language Acquisition 	39900 
FREN	 Honors Course in French 	49100 
FREN	 Independent Study in French Literature 	49500 
ITAL	 Elementary Italian I 	10100 
ITAL	 Elementary Italian II 	10200 
ITAL	 Elementary Italian Conversation 	10251 
ITAL	 Intensive Elementary Italian 	10300 
ITAL	 Intermediate Italian I 	20100 
ITAL	 Intermediate Italian II 	20200 
ITAL	 Intensive Intermediate Italian 	20300 
ITAL	 Italian for Oral Communication 	22100 
ITAL	 Modern Italian Short Story  	26000 
ITAL	 Masterpieces of Italian Literature 	27500 
ITAL	 Dante's Divine Comedy in English  	27600 
ITAL	 The Italian Renaissance: An Introduction 	28000 
ITAL	 Advanced Italian Grammar 	31100 
ITAL	 Advanced Italian Composition 	31200 
ITAL	 Italian Translation 	32100 
ITAL	 Italian Phonetics and Diction 	33100 
ITAL	 Italian Civilization in the Baroque  in English 	33400 
ITAL	 Italian Culture I 	33500 
ITAL	 Italian Culture II 	33600 
ITAL	 Italian Women Writers from the Middle Ages to the 18th Century  in English 	33700 
ITAL	 19th and 20th Century Italian Women Writers  in English 	33800 
ITAL	 Italian American Women Writers and Artists: Issues of Identity  	33900 
ITAL	 Introduction to Italian Literature from the Middle Ages to the 16th Century 	34100 
ITAL	 Introduction to Italian Literature from the 16th Century to the Present 	34200 
ITAL	 Dante's Vita Nuova and Inferno 	34300 
ITAL	 Dante's Purgatorio and Introduction to Paradiso 	34400 
ITAL	 Dante's Paradiso and Major Prose Works 	34500 
ITAL	 Petrarch  Boccaccio and the Literature of Humanism 	34600 
ITAL	 16th Century Italian Literature 	34700 
ITAL	 17th and 18th Century Literature 	34800 
ITAL	 The Modern Italian Lyric 	34900 
ITAL	 The Modern Italian Novel 	35000 
ITAL	 The Modern Italian Theatre 	35100 
ITAL	 The Italian Novel and Cinema 	35200 
ITAL	 The Middle Ages: Special Topics 	36000 
ITAL	 The Renaissance: Special Topics 	36100 
ITAL	 The 17th Century: Special Topics 	36200 
ITAL	 The 18th Century: Special Topics 	36300 
ITAL	 The 19th Century: Special Topics 	36400 
ITAL	 The 20th Century: Special Topics 	36500 
ITAL	 Italian Literature: Special Topics 	37000 
ITAL	 Seminar in Italian Literary History 	37500 
ITAL	 Second Language Acquisition 	39900 
ITAL	 Honors Course in Italian 	49100 
ITAL	 Independent Study in Italian Literature 	49500 
SPAN	 Elementary Spanish I 	10100 
SPAN	 Elementary Spanish II 	10200 
SPAN	 Elementary Spanish Conversation 	10251 
SPAN	 Intensive Elementary Spanish 	10300 
SPAN	 Basic Reading and Writing for Native Speakers of Spanish 	10500 
SPAN	 Oral and Written Skills for Native Speakers of Spanish 	10600 
SPAN	 Basic Spanish Review 	20000 
SPAN	 Intermediate Spanish I 	20100 
SPAN	 Intermediate Spanish II 	20200 
SPAN	 Intensive Intermediate Spanish 	20300 
SPAN	 Intermediate Spanish for Native Speakers 	20700 
SPAN	 Advanced Spanish for Native Speakers 	20800 
SPAN	 Spanish for Social Service Fields 	21000 
SPAN	 Spanish Grammar and Composition 	21100 
SPAN	 Spanish for Classroom Communication 	21200 
SPAN	 Spanish for Oral Communication 	22100 
SPAN	 Spanish Composition for Spanish Speaking Students 	27000 
SPAN	 Readings in Modern Spanish Literature 	27500 
SPAN	 Readings in Modern Spanish- American Literature 	27600 
SPAN	 The Structure of Modern Spanish 	31100 
SPAN	 Advanced Spanish Writing 	31200 
SPAN	 Spanish Stylistics 	31300 
SPAN	 Spanish Writing Workshop I: Poetry 	31400 
SPAN	 Spanish Writing Workshop II: Narrative 	31500 
SPAN	 Spanish Translation 	32100 
SPAN	 Spanish Civilization 	33500 
SPAN	 Latin American Civilization 	33600 
SPAN	 Introduction to Hispanic Literature I 	34100 
SPAN	 Introduction to Hispanic Literature II 	34200 
SPAN	 Spanish Literature of the Middle Ages 	34300 
SPAN	 Spanish Drama of the Golden Age 	34500 
SPAN	 Cervantes 	34600 
SPAN	 Spanish Prose of the Golden Age 	34900 
SPAN	 Spanish Poetry of the Golden Age 	35000 
SPAN	 Spanish Neoclassicism and Romanticism 	35300 
SPAN	 Spanish Literature from Realism to World War I 	35500 
SPAN	 Early 20th Century Spanish Literature 	35700 
SPAN	 Post-Civil War Spanish Literature 	35800 
SPAN	 Spanish-American Literature of the Colonial Period 	36000 
SPAN	 Spanish-American Romanticism  Realism and Naturalism 	36200 
SPAN	 Spanish-American Modernism and Post-modernism 	36400 
SPAN	 Survey of Spanish-American Teatro 	36500 
SPAN	 Contemporary Latin American Poetry 	36600 
SPAN	 Latin American Essay 	36700 
SPAN	 Contemporary Latin American Narrative 	36800 
SPAN	 Contemporary Literature and Film 	37400 
SPAN	 Time  Love and Death in Spanish Poetry from the Middle Ages to the Postmodern Age 	37600 
SPAN	 Introduction to Translation and Interpretation Studies 	38000 
SPAN	 Translation from Spanish into English 	38100 
SPAN	 Consecutive Interpretation Spanish-English/English-Spanish 	38200 
SPAN	 Translation from English into Spanish 	38300 
SPAN	 Simultaneous Interpretation Spanish-English 	38400 
SPAN	 Translation and Interpretation for the Professions 	39000 
SPAN	 Internship in Translation 	39100 
SPAN	 Internship in Interpretation 	39200 
SPAN	 Civilization of Spain  in English 	24100 
SPAN	 Contemporary Spanish-American Literature in Translation 	26300 
SPAN	 Contemporary Spanish Literature in Translation 	26400 
SPAN	 Don Quixote (in English translation)  	26500 
SPAN	 Don Quixote in English Translation 	26500 
SPAN	 Spanish American Women's Literature and Cinema  	26900 
SPAN	 Spanish Phonetics and Diction 	33100 
SPAN	 Special Topics in Spanish Literature 	37000 
SPAN	 Special Topics in Spanish- American Literature 	37100 
SPAN	 Problems in Criticism 	37300 
SPAN	 Seminar in Spanish Literary History 	37500 
SPAN	 Second Language Acquisition 	39900 
SPAN	 Honors Course in Spanish: Special Studies in Contemporary Latin American Literature 	49100 
SPAN	 Honors Course in Spanish: Special Studies in Spanish Literature 	49200 
SPAN	 Independent Study in Hispanic Literature 	49500 
PORT	 Elementary Portuguese I 	10100 
PORT	 Elementary Portuguese II 	10200 
PORT	 Intermediate Portuguese I 	20100 
PORT	 Intermediate Portuguese II 	20200 
POL	 Elementary Polish 	10100 
POL	 Elementary Polish 	10200 
POL	 Intermediate Polish I 	20100 
POL	 Intermediate Polish II 	20200 
POL	 Topics in Polish Literature 	25000 
POL	 Independent Study in Polish Language and Literature 	30000 
RUSS	 Elementary Russian 	10100 
RUSS	 Elementary Russian 	10200 
RUSS	 Elementary Russian for Heritage Speakers (Intensive) 	10300 
RUSS	 Intermediate Russian I 	20100 
RUSS	 Intermediate Russian II 	20200 
RUSS	 Intermediate Russian for Heritage Speakers (Intensive) 	20300 
RUSS	 Translating Culture: Introduction to Theory and Practice of Translation 	21500 
RUSS	 Second Language Acquisition 	39900 
RUSS	 Internship in Russian and Slavic Studies 	49800 
RUSS	 Advanced Russian I 	30100 
RUSS	 Advanced Russian II 	30200 
RUSS	 Advanced Russian Conversation I 	31200 
RUSS	 Advanced Russian Conversation II 	31300 
RUSS	 Reading Russian I 	31400 
RUSS	 Reading Russian II 	31500 
RUSS	 Practical Aspects of Translation 	31700 
RUSS	 Advanced Translation 	31800 
RUSS	 Business Russian 	31900 
RUSS	 Russian Folklore: Slavic Myths and Traditions 	24500 
RUSS	 Special Topics in Slavic Literature and Cultures 	24600 
RUSS	 Russian Short Story and Novella 	32100 
RUSS	 Classical Russian Poetry 	32200 
RUSS	 Modern Russian Poetry 	32300 
RUSS	 Literature of Kievan Rus' and Early Russian Literature through the Age of Classicism 	32400 
RUSS	 19th Century Russian Literature 	34000 
RUSS	 Tolstoy and Dostoevsky 	34100 
RUSS	 Modern Russian Literature 	34200 
RUSS	 Russian Theater 	34300 
RUSS	 The Silver Age of Russian Literature 	34400 
RUSS	 Russian Women Writers 	36000 
RUSS	 Honors Project 	49100 
RUSS	 The Culture of Old Russia 	15500 
RUSS	 Culture of Imperial Russia: the Age of Empresses 	15600 
RUSS	 The Age of the Great Masters 	15700 
RUSS	 Contemporary Russian Culture 	15800 
RUSS	 19th Century Russian Literature in English Translation  	25000 
RUSS	 Tolstoy and Dostoevsky in English Translation  	25100 
RUSS	 Modern Russian Literature in English Translation  	25200 
RUSS	 Russian Theater in English Translation  	25300 
RUSS	 The Silver Age of Russian Literature in English Translation  	25400 
RUSS	 Russian Folklore  in Translation  	25500 
RUSS	 Special Topics in Slavic Literatures and Cultures in English Translation 	25600 
RUSS	 Masterpieces of Russian Literature in English Translation 	25700 
RUSS	 Masterpieces of Russian Literature in English Translation 	25800 
RUSS	 Masterpieces of Russian Literature in English Translation 	25900 
RUSS	 Russian Women Writers in English Translation  	26000 
RUSS	 Soviet and Post-Soviet Cinema and Society  	27000 
RUSS	 East European Cinema  	27100 
RUSS	 Folklore in Translation: A Comparative Study 	29300 
RUSS	 Folklore and Literature  	29400 
RUSS	 The Vampire in Lore and Literature  	29500 
RUSS	 Vladimir Nabokov Between Two Cultures 	29600 
RUSS	 The Russian Urban Novel in English Translation  	29700 
RUSS	 Independent Study in Slavic Literatures and Cultures 	37000 
UKR	 Independent Study in Ukrainian Language and Literature 	30000 
SCI	 Introduction to Biomedical Research 	20000 
SCI	 Ethical Conduct in the Natural and Physical Sciences 	30200 
SOSCI	 Special Topics in the Social Sciences 	29700 
SOSCI	 Studies in the Social Sciences 	39700 
SOSCI	 Internship 	49800 
SOC	 Introduction to Sociology 	10100 
SOC	 The Family 	20100 
SOC	 Education 	20300 
SOC	 Sociology of Religion 	20500 
SOC	 Arts in Modern Society 	20900 
SOC	 Urban Sociology 	21100 
SOC	 Political Sociology 	21300 
SOC	 Race and Ethnicity 	21700 
SOC	 Social Inequality 	21800 
SOC	 American Society  	21900 
SOC	 Classical Sociological Theory 	22100 
SOC	 Current Sociological Theory 	22300 
SOC	 Seminar in Selected Problems of Sociology 	22500 
SOC	 Introduction to Social Work Profession 	23100 
SOC	 Community Organization and Action 	23500 
SOC	 Social Welfare Policy 	23700 
SOC	 Child Welfare  	23900 
SOC	 Introduction to Research Methods 	24000 
SOC	 Social Statistics 	24100 
SOC	 Interpersonal Behavior 	25100 
SOC	 Deviance and Social Control 	25300 
SOC	 Sex and Gender Roles 	25700 
SOC	 Mass Media  Communication and Public Opinion  	25900 
SOC	 Medical Sociology 	30100 
SOC	 Migration 	30700 
SOC	 Social Movements and Social Change  	30900 
SOC	 Population Dynamics 	31100 
SOC	 Consumer Behavior 	31300 
SOC	 Culture and Consumption 	31400 
SOC	 Work and Society  	31500 
SOC	 Class  Status  and Power 	31700 
SOC	 Criminology 	31900 
SOC	 Law  Society and Civil Rights 	32000 
SOC	 Sociology of Organizations 	32100 
SOC	 Drugs and Society 	32200 
SOC	 Seminar in Selected Problems of Sociology 	32500 
SOC	 Sociology of Human Rights: Violation and Protection 	32502 
SOC	 Latin American Societies 	32506 
SOC	 Economic Development and Social Inequality in Latin America 	32519 
SOC	 Sociology of Punishment 	32600 
SOC	 Children and Public Policy  	33000 
SOC	 Field Placement in Social Work Agencies 	33100 
SOC	 Advanced Field Placement in Social Work Agencies 	33200 
SOC	 Development and Modernization  	36100 
SOC	 Sociology of Islam  	36200 
SOC	 Globalism and Nationalism 	36400 
SOC	 Independent Study 	37101 
SOC	 Independent Study 	37102 
SOC	 Independent Study 	37103 
SOC	 Independent Study 	37200 
SOC	 Seminar in Selected Problems of Sociology 	42500 
SOC	 Honors/Independent Study 	47100 
SOC	 Honors/Independent Study 	47200 
SOC	 Honors Seminar 	47300 
SOC	 Internship 	49800 
SOC	 Leisure  Recreation and Sports 	20700 
SWA	 Swahili I 	10100 
SWA	 Swahili II 	10200 
SWA	 Swahili III 	20100 
SWA	 Swahili IV 	20200 
THEA	 Introduction to Theatre 	10100 
THEA	 Introduction to Theatre Production 	15100 
THEA	 Acting I: Basic Acting Techniques 	16100 
THEA	 World Theatre I  	21100 
THEA	 World Theatre II  	21200 
THEA	 World Theatre III  	21300 
THEA	 Multicultural Perspectives in Theatrical Performance  	21400 
THEA	 Black Theatre  	21500 
THEA	 Theatre Production 	25100 
THEA	 Acting II: American Realism 	26100 
THEA	 Acting III: World Realism 	26200 
THEA	 Basic Voice and Movement for Performers 	26300 
THEA	 Visual Elements of Theatre 	28100 
THEA	 Theatrical Design Techniques 	28200 
THEA	 Stagecraft 	28300 
THEA	 Makeup for the Stage 	28400 
THEA	 Design Concepts for Theatre  Film  and Television 	28500 
THEA	 Play Analysis  	32100 
THEA	 Theatre Theory and Criticism  	32200 
THEA	 20th Century Aesthetics in Theatre and Film  	32300 
THEA	 Adaptation in Theatre and Film  	32400 
THEA	 Avant-Garde Theatre of the 20th Century  	33100 
THEA	 Theatre of Realism and Naturalism 	33200 
THEA	 Alternative Performance 	33300 
THEA	 Theatre Workshop 	35100 
THEA	 Acting: Non-realism 	36100 
THEA	 Acting: Period Drama 	36200 
THEA	 Advanced Voice and Movement for Performers 	36300 
THEA	 Mime and Masks 	36400 
THEA	 Screen Acting 	36500 
THEA	 Directing I 	37100 
THEA	 Directing II 	37200 
THEA	 Playwriting I  	37600 
THEA	 Playwriting II 	37700 
THEA	 Scene Design I 	38100 
THEA	 Scene Design II 	38200 
THEA	 Costume Design I 	38300 
THEA	 Stage Lighting Design 	38400 
THEA	 Production Design I for Theatre  Film  and Television 	38500 
THEA	 Production Design II for Theatre  Film  and Television 	38600 
THEA	 Concepts of Light in Theatre  Film  and Television 	38700 
THEA	 Theatres and Movie Palaces: Contemporary Culture 	38800 
THEA	 Theatre Projects 	39100 
THEA	 Special Topics in Theatre Performance 	25301 
THEA	 Special Topics in Theatre 	29700 
THEA	 Studies in Theatre 	39700 
THEA	 Seminar 	40100 
THEA	 Independent Research 	40200 
THEA	 Internship 	49800 
THEA	 Honors Project 	49900 
THEA	 Creative Dramatics 	24100 
THEA	 Theatre for Young Audiences 	24200 
THEA	 Theatre for Young Audiences: Laboratory 	24300 
THEA	 Drama and Disability 	24400 
THEA	 Creative Drama Leadership Techniques: Special Groups 	34100 
THEA	 Creative Drama in the Community 	34200 
THEA	 Scriptwriting for Young Audiences: Theatre  Film  and Television 	37800 
HONS	 Sophomore Honors Colloquium  	20100 
HONS	 Upper-Level Honors Colloquium  	30100 
HONS	 Interdisciplinary Independent Study 	30199 
HONS	 Advanced Interdisciplinary Studies 	49100 
URBS	 Urban Life: Personal and Observational View  	10100 
URBS	 Structure of Urban Region  	10200 
URBS	 Urban Plans and Policies 	20100 
URBS	 Introduction to Arts Management 	20300 
URBS	 Methods of Urban Research and Policy Analysis 	31000 
URBS	 Quantitative Approaches to Urban Analysis 	31100 
URBS	 Managing Urban Physical Environment 	40100 
URBS	 Urban Studies Studio 	40200 
URBS	 Selected Topics in Urban Affairs 	40300 
URBS	 Seminar on the City 	40354 
URBS	 Urban Studies Internship 	40900 
URBS	 Public Service Scholar In-Service Seminar 	49806 
WGS	 Introduction to Gender and Sexuality Studies 	10000 
WGS	 Classics in Feminist Thought  	20100 
WGS	 Women Philosophers of the Past 	21600 
WGS	 Transnational Feminisms 	24400 
WGS	 Feminist Social Theory 	36000 
WGST	 Women and Gender in Western Political Thought  	20900 
WGST	 Feminism: Philosophical Theory and Practice  	23000 
WGST	 Feminist Political Theory 	30900 
WGST	 Body Politics:Sexuality and Reproduction 	400.53 
WGST	 Special Topics in Feminist Thought and Theory 	29000 
WGSA	 Topics in Genre Studies: The Woman's Film of the 1940s 	22252 
WGSA	 Women and Music  	25000 
WGSA	 Russian Women Writers in English Translation  	26000 
WGSA	 Spanish American Women's Literature and Cinema  	26900 
WGSA	 Special Topics in Gender  Literature and the Arts 	29000 
WGSA	 Advanced Topics in Literature by Women  	31900 
WGSA	 Caribbean Women Writers  	33700 
WGSA	 Russian Women Writers 	36100 
WGSA	 Women and Media  	38400 
WGS	 Public Speaking in Gender Studies 	12100 
WGSP	 Women and the Law 	21900 
WGSP	 Special Topics in Gender and Public Policy 	29000 
WGSC	 Gender in Anthropological Perspective 	30100 
WGSS	 Introduction to LGBTQI Studies 	15000 
WGSS	 Psychology of Human Sexuality 	17000 
WGSS	 Development of Gender Roles 	19000 
WGSS	 Sex and Gender Roles 	25700 
WGSS	 Masculinities 	28700 
WGSS	 Bathroom Politics 	29300 
WGSS	 Queer Theory 	38700 
WGSL	 Globalization and Gender 	20017 
WGSL	 Special Topics in Labor  Migration  and Globalization 	29000 
WGSL	 Gender and Migration 	30600 
WGSL	 Work and Society  	31500 
WGSL	 Women and Globalization 	32100 
WGSL	 Women and Men in the Labor Market 	34500 
WGSS	 Our Bodies  Our Politics 	26600 
WGS	 Dominican and Haitian Literature and Culture 	20005 
WGS	 Women in the 3rd World 	21100 
WGS	 Women in the Islamic World 	22100 
WGS	 Topics in Literature by Women  	25800 
WGS	 African-American Women Writers  	33600 
WGSC	 Culture of Imperial Russia: The Age of Empresses 	15600 
WGSC	 Women and Slaves in Classical Antiquity  	30500 
WGSC	 Women in Africa  	31800 
WGSC	 Women in the African Diaspora  	32900 
WGSP	 Sociology of the Family 	22300 
WGSP	 The Psychology of Women  	23500 
WGSP	 Child Welfare  	23900 
WGSP	 Women and Health 	25100 
WGSP	 Women and Politics  	26100 
WGSP	 Women  War and Peace  	26200 
WGSP	 Community Leadership Seminar 	39800 
WGSP	 Leadership Field Work Internship 	49000 
WGSS	 Women and the Law  	21900 
WGSS	 Gender  Science  and Technology 	35100 
WGSC	 Special Topics in Women and Gender Across Cultures 	29000 
WGS	 Special Topics in Women and Gender Studies 	200XX 
WGS	 Special Topics in Women and Gender Studies 	300XX 
WGS	 Special Topics in Women and Gender Studies 	400XX 
WGSS	 Special Topics in Sexualities 	29000 
WGSI	 Internship 	29800 
WGSI	 Independent Research 	39300 
WGS	 Research Seminar: Feminist Theory and Methodology 	31000 
WGSP	 Internship Seminar: Feminist Activism and Advocacy 	32000 
YOR	 Yoruba I 	10100 
YOR	 Yoruba II 	10200 
YOR	 Yoruba III 	20100 
YOR	 Yoruba IV 	20200 
SW	 Introduction to Social Work 	20100 
SW	 Social Work Practice and Learning LAB I 	31000 
SW	 Social Work Practice and Learning LAB II 	31100 
SW	 Introduction to Social Welfare Policy & Services 	32000 
SW	 Human Behavior in the Social Environment I 	33000 
SW	 Human Behavior in the Social Environment II 	33100 
SW	 Social Work Policy in Child Welfare 	34000 
SW	 Social Work Policy II in Care Coordination 	35000 
SW	 Introduction to Community Organizing 	36000 
SW	 Community Organizing Internship and Field Seminar 	37000 
SW	 Social Work Practice in Child Welfare I 	41000 
SW	 Social Work Practice in Child Welfare II 	41100 
SW	 Social Work Practice in Care Coordination I 	42000 
SW	 Social Work Practice in Care Coordination II 	42100 
SW	 Integrative Seminar I 	43000 
SW	 Integrative Seminar II 	43100 
SW	 Social Work Research 	44000 
SW	 Social Work Field Instruction I 	45000 
SW	 Social Work Field Instruction II 	45100 
SW	 Advanced Community Organizing Theory & Practice 	46000 
GEOL	 Field Geology of New York City and Vicinity 	21100 
SCI	 Brains  Minds  and Machines 	11100 
